Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	com.magshop.ns.mot.months.6.1	 	MOTOR Magazine Australia Subscription_500_180	 	IAY	1	0	04/24/2014	04/24/2014	NZD	NZ	NZD	642290623	0	 	MAG0355	New	6 Months	Lifestyle
APPLE	US	MAG0253	PBL MEDIA PTY LTD.	Good Health Magazine	1.3.5	7F	2	0	04/24/2014	04/24/2014	USD	US	USD	574688852	0	 	 	 	 	Health & Fitness
APPLE	US	MAG0253	PBL MEDIA PTY LTD.	Good Health Magazine	1.3.5	1F	3	0	04/24/2014	04/24/2014	USD	US	USD	574688852	0	 	 	 	 	Health & Fitness
APPLE	US	BeautyBites_001	PBL MEDIA PTY LTD.	Beauty Bites	1.2.2	7	2	0	04/24/2014	04/24/2014	AUD	AU	AUD	684585688	0	 	 	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.2months	 	GT Paid Subscription_300_60	 	IAY	17	5.72	04/24/2014	04/24/2014	AUD	AU	AUD	471832469	8.99	 	ACPGT001	Renewal	2 Months	Food & Drink
APPLE	US	ACP03	PBL MEDIA PTY LTD.	Myer Emporium	1.9.0	7T	3	0	04/24/2014	04/24/2014	AUD	AU	AUD	400191481	0	 	 	 	 	Lifestyle
APPLE	US	ACP03	PBL MEDIA PTY LTD.	Myer Emporium	1.9.0	1T	14	0	04/24/2014	04/24/2014	AUD	AU	AUD	400191481	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.rlw.1417.1	 	Rugby League Week 1417	 	IA1	52	3.18	04/24/2014	04/24/2014	AUD	AU	AUD	738227523	4.99	 	MAG0421	 	 	Sports
APPLE	US	MAG0053	PBL MEDIA PTY LTD.	Australian Geographic Outdoor Magazine	1.3.5	1F	1	0	04/24/2014	04/24/2014	IDR	ID	IDR	639977537	0	 	 	 	 	Lifestyle
APPLE	US	MAG0053	PBL MEDIA PTY LTD.	Australian Geographic Outdoor Magazine	1.3.5	1F	2	0	04/24/2014	04/24/2014	EUR	DE	EUR	639977537	0	 	 	 	 	Lifestyle
APPLE	US	MAG0421	PBL MEDIA PTY LTD.	Rugby League Week	1.3.7	7F	2	0	04/24/2014	04/24/2014	GBP	GB	GBP	505309539	0	 	 	 	 	Sports
APPLE	US	au.com.acpmagazines.myeremporium.subscriptions.free	 	Myer Free Subscription	 	IAC	4	0	04/24/2014	04/24/2014	AUD	AU	AUD	481565913	0	 	ACP03	 	 	Lifestyle
APPLE	US	com.magshop.ns.rcp.1402.1	 	Recipes+ 1402	 	IA1	1	5.59	04/24/2014	04/24/2014	AED	AE	AED	765123378	7.99	 	MAG1273	 	 	Food & Drink
APPLE	US	au.com.acpmagazines.aww.subscriptions.3months	 	AWW Paid Subscription_400_90	 	IAY	9	6.99	04/24/2014	04/24/2014	AUD	AU	AUD	471821185	10.99	 	ACP003	Renewal	3 Months	Entertainment
APPLE	US	com.magshop.ns.zoo.1414.1	 	ZOO Weekly 1414	 	IA1	2	1.9	04/24/2014	04/24/2014	AUD	AU	AUD	738259645	2.99	 	MAG0553	 	 	Entertainment
APPLE	US	com.magshop.ns.shp.1203.1	 	Shop Til you Drop 1203	 	IA1	1	0	04/24/2014	04/24/2014	AUD	AU	AUD	575093408	0	FREE	MAG0430	 	 	Lifestyle
